SeriesName,ProductName,Inductance,Tolerance,DcrTypical,DcrMax,DcrTolerance,SrfTypical,Isat10,Isat20,Isat30,Irms20Cat25C,Irms40Cat25C,Isat30At100C,Isat30At125C,Length,Width,Height
CX9693,CX9693,0,10.0,,0.0095,,20.0,0,0,0,,28.0,,,27.94,27.94,17.78
DMT,DMT1-16-67,0,,,0.02,,16.6,0,0,0,,,,,33.0,17.8,27.9
DMT,DMT1-180-15,0,,,0.29,,1.92,0,0,0,,,,,33.0,17.8,27.9
DMT,DMT1-26-51,0,,,0.04,,11.5,0,0,0,,,,,33.0,17.8,27.9
DMT,DMT1-43-38,0,,,0.07,,7.28,0,0,0,,,,,33.0,17.8,27.9
DMT,DMT1-7-10,0,,,0.01,,28.8,3.9989,6.2,8.4,,,,,33.0,17.8,27.9
DMT,DMT1-84-24,0,,,0.14,,4.37,0,0,0,,,,,33.0,17.8,27.9
DMT,DMT2-134-48,0,,,0.1,,2.82,0,0,0,,,,,40.6,22.9,40.6
DMT,DMT2-149-38,0,,,0.13,,4.03,0,0,0,,,,,35.6,22.9,35.6
DMT,DMT2-200-38,0,,,0.19,,2.07,0,0,0,,,,,40.6,22.9,40.6
DMT,DMT2-20-12,0,,,0.02,,11.4,5.3,7.8,10.567,,,,,40.6,22.9,40.6
DMT,DMT2-26-11,0,,,0.02,,9.34,3.8,5.9615,8.0929,,,,,35.6,22.9,35.6
DMT,DMT2-273-24,0,,,0.26,,2.45,0,0,0,,,,,35.6,22.9,35.6
DMT,DMT2-380-24,0,,,0.38,,1.68,0,0,0,,,,,40.6,22.9,40.6
DMT,DMT2-47-82,0,,,0.04,,6.45,0,0,0,,,,,35.6,22.9,35.6
DMT,DMT2-49-8,0,,,0.04,,6.13,4.4697,6.9879,9.4906,,,,,40.6,22.9,40.6
DMT,DMT2-567-15,0,,,0.56,,1.12,0,0,0,,,,,35.6,22.9,35.6
DMT,DMT2-79-6,0,,,0.07,,3.58,2.2,3.3595,4.5747,,,,,35.6,22.9,35.6
DMT,DMT2-796-15,0,,,0.79,,0.64,0,0,0,,,,,40.6,22.9,40.6
DMT,DMT2-80-63,0,,,0.05,,4.46,0,0,0,,,,,40.6,22.9,40.6
DMT,DMT3-138-6,0,,,0.07,,2.77,2.6756,3.9666,5.5844,,,,,47.0,24.1,48.3
DMT,DMT3-1439-15,0,,,1.18,,0.56,0,0,0,,,,,45.7,24.1,48.3
DMT,DMT3-257-49,0,,,0.15,,1.62,0,0,0,,,,,47.0,24.1,48.3
DMT,DMT3-35-12,0,,,0.02,,7.55,5.4,8.0,10.874,,,,,47.0,24.1,48.3
DMT,DMT3-402-37,0,,,0.28,,1.25,0,0,0,,,,,45.7,24.1,48.3
DMT,DMT3-695-24,0,,,0.55,,0.92,0,0,0,,,,,45.7,24.1,48.3
DMT,DMT3-77-8,0,,,0.04,,4.24,3.3716,5.2,7.1,,,,,47.0,24.1,48.3
SLC7530D,SLC7530D-101,0,20.0,0.000209,0.000219,,3750.0,17.7,20.0,21.5,,38.0,,,7.5,6.7,3.0
SLC7530D,SLC7530D-500,0,20.0,0.000209,0.000219,,3750.0,32.0,36.5353,39.0,,38.0,,,7.5,6.7,3.0
SLC7530D,SLC7530D-640,0,20.0,0.000209,0.000219,,3650.0,28.7958,31.9282,33.5232,,38.0,,,7.5,6.7,3.0
SLC7530D,SLC7530D-820,0,20.0,0.000209,0.000219,,3750.0,22.0,24.4975,25.5,,38.0,,,7.5,6.7,3.0
0603PS,0603PS-102,0,10.0,,0.26,,390.0,0.6506,0.7,0.7354,,1.0,,,2.59,2.08,1.8
0603PS,0603PS-103,0,10.0,,1.6,,30.0,0.25,0.26,0.27,,0.38,,,2.59,2.08,1.8
0603PS,0603PS-153,0,10.0,,1.92,,22.0,0.2,0.2191,0.225,,0.35,,,2.59,2.08,1.8
0603PS,0603PS-182,0,10.0,,0.54,,155.0,0.54,0.5762,0.5934,,0.7,,,2.59,2.08,1.8
0603PS,0603PS-222,0,10.0,,0.75,,245.0,0.4595,0.49,0.5,,0.6,,,2.59,2.08,1.8
0603PS,0603PS-223,0,10.0,,2.96,,16.0,0.165,0.1781,0.184,,0.27,,,2.59,2.08,1.8
